lat, lng
37.689445, 127.047285
37.689481, 127.047392
37.689518, 127.047510
37.689510, 127.047639
37.689505, 127.047758
37.689504, 127.047880
37.689509, 127.048002
37.689534, 127.048117
37.689525, 127.048243
37.689528, 127.048364
37.689499, 127.048474
37.689422, 127.048547
37.689325, 127.048566
37.689234, 127.048588
37.689144, 127.048545
37.689031, 127.048563
37.688937, 127.048623
37.688860, 127.048690
37.688814, 127.048798
37.688726, 127.048825
37.688633, 127.048823
37.688536, 127.048809
37.688437, 127.048805
37.688348, 127.048839
37.688254, 127.048895
37.688227, 127.049018
37.688278, 127.049119
37.688248, 127.049247
37.688153, 127.049280
37.688061, 127.049276
37.687973, 127.049300
37.687881, 127.049329
37.687795, 127.049369
37.687715, 127.049423
37.687629, 127.049482
37.687553, 127.049547
37.687467, 127.049597
37.687387, 127.049662
37.687286, 127.049705
37.687198, 127.049757
37.687119, 127.049829
37.687049, 127.049901
37.686962, 127.049963
37.686874, 127.050024
37.686790, 127.050079
37.686713, 127.050140
37.686620, 127.050198
37.686534, 127.050252
37.686451, 127.050309
37.686365, 127.050360
37.686274, 127.050439
37.686266, 127.050560
37.686287, 127.050690
37.686331, 127.050798
37.686393, 127.050886
37.686445, 127.050987
37.686485, 127.051103
37.686531, 127.051214
37.686564, 127.051322
37.686607, 127.051425
37.686647, 127.051538
37.686707, 127.051634
37.686781, 127.051704
37.686867, 127.051747
37.686914, 127.051844
37.686995, 127.051906
37.687079, 127.051966
37.687169, 127.051994
37.687266, 127.051994
37.687353, 127.052045
37.687427, 127.052132
37.687480, 127.052231
37.687498, 127.052356
37.687548, 127.052465
37.687616, 127.052545
37.687688, 127.052635
37.687777, 127.052680
37.687843, 127.052768
37.687910, 127.052854
37.687974, 127.052937
37.688026, 127.053037
37.688237, 127.053494
37.688247, 127.053611
37.688310, 127.053702
37.688380, 127.053790
37.688440, 127.053886
37.688490, 127.053998
37.688536, 127.054111
37.688541, 127.054228
37.688559, 127.054343
37.688631, 127.054422
37.688700, 127.054498
37.688771, 127.054582
37.688837, 127.054673
37.688866, 127.054790
37.688886, 127.054902
37.688913, 127.055029
37.688910, 127.055152
37.688923, 127.055272
37.688942, 127.055394
37.688946, 127.055511
37.688958, 127.055636
37.688970, 127.055753
37.688987, 127.055882
37.688994, 127.056003
37.689011, 127.056119
37.689033, 127.056230
37.689069, 127.056338
37.689118, 127.056436
37.689166, 127.056547
37.689229, 127.056628
37.689304, 127.056706
37.689392, 127.056733
37.689475, 127.056663
37.689557, 127.056597
37.689584, 127.056721
37.689549, 127.056829
37.689550, 127.056960
37.689540, 127.057079
37.689534, 127.057195
37.689536, 127.057328
37.689536, 127.057442
37.689559, 127.057558
37.689546, 127.057681
37.689565, 127.057803
37.689607, 127.057905
37.689685, 127.057969
37.689761, 127.058063
37.689797, 127.058173
37.689812, 127.058285
37.689816, 127.058401
37.689772, 127.058501
37.689703, 127.058577
37.689608, 127.058593
37.689516, 127.058615
37.689422, 127.058654
37.689321, 127.058687
37.689262, 127.058774
37.689187, 127.058848
37.689118, 127.058939
37.689080, 127.059045
37.689055, 127.059158
37.689004, 127.059264
37.688901, 127.059251
37.688812, 127.059211
37.688712, 127.059227
37.688622, 127.059221
37.688539, 127.059172
37.688513, 127.059060
37.688470, 127.058946
37.688377, 127.058937
37.688305, 127.059012
37.688227, 127.059078
37.688184, 127.059186
37.688153, 127.059311
37.688081, 127.059379
37.687994, 127.059332
37.687898, 127.059328
37.687803, 127.059321
37.687714, 127.059264
37.687615, 127.059260
37.687516, 127.059259
37.687425, 127.059228
37.687351, 127.059164
37.687253, 127.059120
37.687154, 127.059103
37.687063, 127.059094
37.686973, 127.059061
37.686891, 127.058978
37.686795, 127.058954
37.686705, 127.058970
37.686611, 127.058957
37.686515, 127.058947
37.686432, 127.058894
37.686368, 127.058812
37.686307, 127.058725
37.686328, 127.058604
37.686340, 127.058485
37.686314, 127.058359
37.686269, 127.058244
37.686188, 127.058190
37.686101, 127.058143
37.686007, 127.058096
37.685915, 127.057998
37.685821, 127.057931
37.685730, 127.057924
37.685649, 127.057976
37.685552, 127.057971
37.685458, 127.057987
37.685371, 127.058027
37.685275, 127.058023
37.685189, 127.058067
37.685143, 127.058178
37.685064, 127.058234
37.684970, 127.058267
37.684877, 127.058286
37.684777, 127.058279
37.684687, 127.058245
37.684593, 127.058269
37.684496, 127.058294
37.684400, 127.058322
37.684347, 127.058421
37.684257, 127.058449
37.684157, 127.058430
37.684065, 127.058450
37.683976, 127.058416
37.683889, 127.058356
37.683796, 127.058325
37.683706, 127.058293
37.683614, 127.058289
37.683517, 127.058304
37.683425, 127.058335
37.683355, 127.058409
37.683279, 127.058476
37.683205, 127.058564
37.683110, 127.058611
37.683022, 127.058553
37.682927, 127.058555
37.682825, 127.058519
37.682719, 127.058490
37.682652, 127.058582
37.682561, 127.058628
37.682500, 127.058717
37.682410, 127.058722
37.682324, 127.058773
37.682262, 127.058858
37.682257, 127.058972
37.682181, 127.058897
37.682116, 127.058817
37.682040, 127.058733
37.681967, 127.058647
37.681891, 127.058558
37.681792, 127.058533
37.681702, 127.058522
37.681623, 127.058581
37.681553, 127.058658
37.681506, 127.058770
37.681411, 127.058831
37.681324, 127.058879
37.681234, 127.058855
37.681132, 127.058826
37.681042, 127.058853
37.680966, 127.058923
37.680875, 127.058908
37.680813, 127.058821
37.680722, 127.058788
37.680638, 127.058734
37.680558, 127.058666
37.680485, 127.058596
37.680416, 127.058518
37.680321, 127.058542
37.680234, 127.058611
37.680135, 127.058615
37.680036, 127.058612
37.679947, 127.058632
37.679889, 127.058720
37.679910, 127.058838
37.679897, 127.058953
37.679880, 127.059066
37.679904, 127.059184
37.679900, 127.059307
37.679954, 127.059401
37.679946, 127.059517
37.679899, 127.059622
37.679851, 127.059726
37.679781, 127.059838
37.679743, 127.059948
37.679672, 127.060049
37.679590, 127.060098
37.679493, 127.060140
37.679397, 127.060176
37.679305, 127.060231
37.679223, 127.060279
37.679140, 127.060371
37.679060, 127.060436
37.678995, 127.060547
37.678922, 127.060636
37.678836, 127.060675
37.678744, 127.060708
37.678647, 127.060755
37.678558, 127.060722
37.678458, 127.060700
37.678364, 127.060692
37.678270, 127.060664
37.678198, 127.060594
37.678123, 127.060528
37.678033, 127.060471
37.677931, 127.060470
37.677839, 127.060472
37.677740, 127.060471
37.677646, 127.060509
37.677555, 127.060511
37.677456, 127.060512
37.677352, 127.060493
37.677268, 127.060453
37.677179, 127.060399
37.677088, 127.060345
37.676997, 127.060296
37.676906, 127.060263
37.676801, 127.060277
37.676719, 127.060231
37.676623, 127.060243
37.676532, 127.060241
37.676448, 127.060311
37.676420, 127.060432
37.676401, 127.060556
37.676361, 127.060670
37.676324, 127.060783
37.676238, 127.060824
37.676148, 127.060793
37.676058, 127.060729
37.675957, 127.060696
37.675859, 127.060675
37.675848, 127.060789
37.675863, 127.060904
37.675880, 127.061029
37.675877, 127.061144
37.675968, 127.061178
37.676066, 127.061220
37.676151, 127.061281
37.676228, 127.061341
37.676269, 127.061446
37.676338, 127.061531
37.676318, 127.061644
37.676225, 127.061663
37.676138, 127.061708
37.676042, 127.061760
37.675951, 127.061805
37.675856, 127.061854
37.675757, 127.061909
37.675668, 127.061896
37.675585, 127.061831
37.675537, 127.061730
37.675473, 127.061637
37.675381, 127.061633
37.675291, 127.061628
37.675200, 127.061612
37.675112, 127.061590
37.675021, 127.061582
37.674952, 127.061659
37.674905, 127.061763
37.674925, 127.061883
37.674942, 127.062017
37.674988, 127.062136
37.674901, 127.062084
37.674814, 127.062038
37.674722, 127.062027
37.674625, 127.061982
37.674537, 127.061942
37.674469, 127.062020
37.674389, 127.062081
37.674301, 127.062136
37.674212, 127.062181
37.674117, 127.062236
37.674025, 127.062259
37.673932, 127.062274
37.673846, 127.062342
37.673746, 127.062390
37.673671, 127.062460
37.673605, 127.062541
37.673511, 127.062594
37.673439, 127.062689
37.673366, 127.062765
