sortnum,course_division,course_borough,course_distance,estimated_duration,course_difficulty,course_name
0,강남,관악구,1.3,30,초급,관악산 자락길(무장애숲길)
1,강북,"종로구,중구",1.8,60,초급,흥인지문구간
2,강북,종로구,4,150,중급,인왕산구간
3,강북,중구,1.8,60,초급,숭례문구간
4,강북,종로구,4.7,180,중급,백악구간
5,강북,중구,4.2,180,중급,남산구간
6,강북,"성북구,종로구",2.1,60,초급,낙산구간
7,강북,서대문구,7,120,초급,안산 자락길
8,강북,종로구,2.5,60,초급,인왕산 자락길
9,강남,양천구,4.6,150,초급,신정산 자락길
10,강북,성북구,1.2,40,초급,북한산 자락길
11,강북,마포구,2,90,초급,매봉산 자락길
12,강남,동작구,0.5,20,초급,서달산 자락길
13,강북,동대문구,0.73,30,초급,배봉산 자락길
14,강남,강동구,0.7,20,초급,고덕산 자락길
15,강북,"용산구,중구",8.45,180,초급,용산한강길
16,강북,"용산구,중구",8.13,120,초급,청계천길
17,강북,"용산구,중구",1.63,40,초급,전쟁기념관 산책길
18,강북,"용산구,중구",3.3,60,중급,용산가족 산책길
19,강북,"용산구,중구",6.02,120,초급,덕수궁 산책길
20,강북,"용산구,중구",2.29,60,초급,남산야외식물원 산책길
21,강북,"중구,중랑구",9.17,180,중급,남산 순환 나들길
22,강북,"용산구,중구",1.88,60,초급,한남매봉공원 산책길
23,강북,"광진구,성동구",1.89,120,초급,어린이대공원 산책길
24,강북,"광진구,성동구",2.78,180,고급,아차산 숲 나들길
25,강북,"광진구,성동구",2.93,90,초급,성동 송정둑길
26,강북,"광진구,성동구",5.22,120,초급,서울숲 공원 산책길
27,강북,"광진구,성동구",8.82,210,중급,서울숲 남산 나들길
28,강북,동대문구,3.57,60,초급,정릉천길
29,강북,동대문구,1.83,60,초급,홍릉수목원길
30,강북,동대문구,3.51,120,중급,배봉산 답십리 나들길
31,강북,중랑구,3.73,120,중급,중랑캠핑숲나들길
32,강북,중랑구,5.68,120,초급,중랑천제방장미 벚꽃길
33,강북,중랑구,4.02,120,고급,용마산 나들길
34,강북,중랑구,5.51,150,중급,망우산숲나들길
35,강북,노원구,2.84,120,초급,당현천길
36,강북,노원구,3.96,90,초급,묵동천길
37,강북,"노원구,도봉구",4.59,90,초급,초안산 나들길(초록숲길)
38,강북,노원구,1.12,60,초급,월계근린공원 산책길
39,강북,노원구,7.39,270,고급,수락산 나들길(초록숲길)
40,강북,노원구,9.79,180,중급,불암산 나들길
41,강북,"강북구,도봉구",7.94,120,초급,우이천길
42,강북,"강북구,도봉구",0.21,20,초급,가오천길
43,강북,"강북구,도봉구",0.67,30,초급,대동천길
44,강북,"강북구,도봉구",2.78,60,초급,도봉천길
45,강북,"강북구,도봉구",1.89,40,초급,방학천길
46,강북,"강북구,도봉구",7.95,150,중급,우이령 나들길
47,강북,"강북구,도봉구",2.06,60,중급,오패산 나들길
48,강북,"강북구,도봉구",5.21,150,중급,쌍문역사 산책길(초록숲길)
49,강북,"강북구,도봉구",6.81,210,중급,북한산방학 나들길
50,강북,"강북구,도봉구",2.01,60,초급,북서울꿈의숲 산책길
51,강북,"강북구,도봉구",4.71,120,중급,북서울꿈의숲 나들길
52,강북,성북구,3.62,60,초급,성북천길
53,강북,성북구,2.23,60,초급,청량산 산책길
54,강북,성북구,2.23,90,초급,정릉숲 산책길
55,강북,성북구,2.02,60,초급,오동공원 산책길
56,강북,성북구,2.49,90,초급,북한산자락 산책길
57,강북,성북구,2.2,90,초급,개운산 숲 나들길
58,강북,종로구,3.54,90,중급,인왕산 나들길
59,강북,종로구,8.12,120,중급,인사동삼청동 나들길
60,강북,성북구,4.16,120,중급,성북동고택북촌산책길
61,강북,"성북구,종로구",2.79,120,중급,북악하늘 나들길
62,강북,종로구,6.96,150,중급,북악스카이웨이 나들길
63,강북,종로구,4.31,180,중급,부암동 나들길
64,강북,종로구,3.06,120,중급,백사실두메 나들길
65,강북,종로구,8.6,210,중급,도심고궁 나들길
66,강북,은평구,2.76,60,초급,진관공원 나들길
67,강북,은평구,4.39,120,중급,서오릉 나들길
68,강북,서대문구,2.23,180,초급,안산숲 나들길(초록숲길)
69,강북,서대문구,5.09,180,중급,백련산 나들길(초록숲길)
70,강북,서대문구,3.8,120,중급,독립공원안산 나들길
71,강북,"마포구,서대문구",7.81,120,초급,홍제천길
72,강북,마포구,4.43,120,초급,불광천길
73,강북,마포구,3.12,120,중급,홍대예술의거리 나들길
74,강북,마포구,19.29,270,고급,월드컵공원 나들길
