sortnum,course_division,course_borough,course_distance,estimated_duration,course_difficulty,course_name,img
0,강남,관악구,1.3,30,초급,관악산 자락길(무장애숲길),"/img/othercourseimg/c0.jpg"
1,강북,"종로구,중구",1.8,60,초급,흥인지문구간,"/img/othercourseimg/c1.jpg"
2,강북,종로구,4,150,중급,인왕산구간,"/img/othercourseimg/c2.jpg"
3,강북,중구,1.8,60,초급,숭례문구간,"/img/othercourseimg/c3.jpg"
4,강북,종로구,4.7,180,중급,백악구간,"/img/othercourseimg/c4.jpg"
5,강북,중구,4.2,180,중급,남산구간,"/img/othercourseimg/c5.jpg"
6,강북,"성북구,종로구",2.1,60,초급,낙산구간,"/img/othercourseimg/c6.jpg"
7,강북,서대문구,7,120,초급,안산 자락길,"/img/othercourseimg/c7.jpg"
8,강북,종로구,2.5,60,초급,인왕산 자락길,"/img/othercourseimg/c8.jpg"
9,강남,양천구,4.6,150,초급,신정산 자락길,"/img/othercourseimg/c9.jpg"
10,강북,성북구,1.2,40,초급,북한산 자락길,"/img/othercourseimg/c10.jpg"
11,강북,마포구,2,90,초급,매봉산 자락길,"/img/othercourseimg/c11.jpg"
12,강남,동작구,0.5,20,초급,서달산 자락길,"/img/othercourseimg/c12.jpg"
13,강북,동대문구,0.73,30,초급,배봉산 자락길,"/img/othercourseimg/c13.jpg"
14,강남,강동구,0.7,20,초급,고덕산 자락길,"/img/othercourseimg/c14.jpg"
15,강북,"용산구,중구",8.45,180,초급,용산한강길,"/img/othercourseimg/c15.jpg"
16,강북,"용산구,중구",8.13,120,초급,청계천길,"/img/othercourseimg/c16.jpg"
17,강북,"용산구,중구",1.63,40,초급,전쟁기념관 산책길,"/img/othercourseimg/c17.jpg"
18,강북,"용산구,중구",3.3,60,중급,용산가족 산책길,"/img/othercourseimg/c18.jpg"
19,강북,"용산구,중구",6.02,120,초급,덕수궁 산책길,"/img/othercourseimg/c19.jpg"
20,강북,"용산구,중구",2.29,60,초급,남산야외식물원 산책길,"/img/othercourseimg/20.jpg"
21,강북,"중구,중랑구",9.17,180,중급,남산 순환 나들길,"/img/othercourseimg/c21.jpg"
22,강북,"용산구,중구",1.88,60,초급,한남매봉공원 산책길,"/img/othercourseimg/c22.jpg"
23,강북,"광진구,성동구",1.89,120,초급,어린이대공원 산책길,"/img/othercourseimg/c23.jpg"
24,강북,"광진구,성동구",2.78,180,고급,아차산 숲 나들길,"/img/othercourseimg/c24.jpg"
25,강북,"광진구,성동구",2.93,90,초급,성동 송정둑길,"/img/othercourseimg/c25.jpg"
26,강북,"광진구,성동구",5.22,120,초급,서울숲 공원 산책길,"/img/othercourseimg/c26.jpg"
27,강북,"광진구,성동구",8.82,210,중급,서울숲 남산 나들길,"/img/othercourseimg/c27.jpg"
28,강북,동대문구,3.57,60,초급,정릉천길,"/img/othercourseimg/c28.jpg"
29,강북,동대문구,1.83,60,초급,홍릉수목원길,"/img/othercourseimg/c29.jpg"
30,강북,동대문구,3.51,120,중급,배봉산 답십리 나들길,"/img/othercourseimg/c30.jpg"
31,강북,중랑구,3.73,120,중급,중랑캠핑숲나들길,"/img/othercourseimg/c31.jpg"
32,강북,중랑구,5.68,120,초급,중랑천제방장미 벚꽃길,"/img/othercourseimg/c32.jpg"
33,강북,중랑구,4.02,120,고급,용마산 나들길,"/img/othercourseimg/c33.jpg"
34,강북,중랑구,5.51,150,중급,망우산숲나들길,"/img/othercourseimg/c34.jpg"
